Baseline,CV(FPR) mean,CV(FPR) std,CV(TPR) mean,CV(TPR) std,Worst BA mean,Worst BA std,P10 client Macro-F1 mean,P10 client Macro-F1 std,Eligible,Pending,Coverage
B0 (Centralised),0.1085,0.0200,0.0007,0.0000,0.9539,0.0059,0.9581,0.0007,63,0,1.0000
B1 (Client-Averaged),0.0989,0.0022,0.0007,0.0001,0.9585,0.0017,0.9584,0.0006,63,0,1.0000
B2 (Per-Client),0.1332,0.0068,0.0008,0.0001,0.9559,0.0013,0.9575,0.0007,63,0,1.0000
B4 (Cluster-Mean),0.1006,0.0025,0.0007,0.0001,0.9585,0.0018,0.9585,0.0007,63,0,1.0000
# † Eligible clients only.
