round,fedavg_weighted_benign_val_loss
1,0.8564644251989932
2,0.437482915551649
3,0.3095043236680001
4,0.2593989595167059
5,0.23474015284770222
6,0.2196410190025468
7,0.2082258069657454
8,0.19831101447120006
9,0.189783642689387
10,0.18240033346274162
11,0.17606700219369228
12,0.17016819377127468
13,0.16583086667694152
14,0.16190174724514497
15,0.1586620658516812
16,0.15497404994034303
17,0.15192423239283978
18,0.14988282966934677
19,0.14803734871821958
20,0.14593650566814612
21,0.14360485250690197
22,0.1418035224543942
23,0.13945359579303612
24,0.13739882095943654
25,0.13570982556815142
26,0.13374809531334933
27,0.13181889189581578
28,0.1303586270651953
29,0.12902966454605963
30,0.12747252770805917
31,0.12603492040537626
32,0.12519751482863328
33,0.1237546259001462
34,0.12197796829527907
35,0.1207728585418956
36,0.11994545738783395
37,0.11876759960888662
38,0.11761756919910551
39,0.11737573846370368
40,0.1160817850073317
41,0.11524687987265728
42,0.11450084599209703
43,0.11369684593636917
44,0.11351139179651028
45,0.11241174878243514
46,0.1118467938457394
47,0.11144253059520862
48,0.11083283581087376
49,0.11039646274182005
50,0.10962040822331752
51,0.10911913443860581
52,0.10858993123195099
53,0.10834843934266632
54,0.10756181094159155
55,0.10698372600893886
56,0.10660246568099664
57,0.1062214573187529
58,0.10579769828951541
59,0.10490078094604499
60,0.1045465542779225
61,0.10395804931095816
62,0.10480428467635713
63,0.1039408979127244
64,0.10330138682116095
65,0.1026796891269581
66,0.1027518385122309
67,0.10214624037223825
68,0.10207969529756741
69,0.10184986271700538
70,0.10098571746633551
71,0.1006136625904923
72,0.10040049032059689
73,0.09970674769218595
74,0.09997844694832007
75,0.09932830943828656
76,0.10018317177696727
77,0.09918877110062797
78,0.09856036581670577
79,0.09905233168482065
80,0.09816565757101145
81,0.0983345163420758
82,0.09750177905991589
83,0.0977256858703232
84,0.09702537003310353
85,0.09674757972049929
86,0.09678124500659023
87,0.09678539098051336
88,0.09618691379938524
89,0.0963746593806759
90,0.09589986905349576
91,0.0957751565963668
92,0.09526034992801341
93,0.09539025500022055
94,0.09485997048938238
95,0.09418100645698835
96,0.09440129824325079
97,0.09415843559154687
98,0.09414721741652786
99,0.09403503132993273
100,0.09303530220136967
101,0.09295117417571634
102,0.09310016903508972
103,0.0928420443394228
104,0.09291992179583218
105,0.09285533544015452
106,0.09228204290907091
107,0.09237483471896567
108,0.09216684443794242
109,0.09181148668667406
110,0.09181820139680653
111,0.09108188316025909
112,0.09101001066065642
113,0.09127884994612871
114,0.0908523434049443
115,0.09065385538009701
116,0.09030871044776674
117,0.09032681401590045
118,0.09033242247761962
119,0.08972750103480204
120,0.08946189707685528
121,0.08975585109580693
122,0.08888357275375038
123,0.08920930957692438
124,0.0891238030700227
125,0.0888796939152705
126,0.0887180332662323
127,0.088282522280544
128,0.08850474254609078
129,0.08818039512033155
130,0.08794187700468173
131,0.08816904338141059
132,0.08775283139488074
133,0.08773859301725467
134,0.08787003888866787
135,0.08744478056422625
136,0.08726216159306545
137,0.08746460626668785
138,0.08729199348993517
139,0.08780294940140032
140,0.08709287113362035
141,0.08724098169539485
142,0.0874962837104945
143,0.08686596046245534
144,0.0873988666571216
145,0.08698956913224888
146,0.08673495499619277
147,0.08744619456136295
148,0.08685072212226562
149,0.08677208272100667
150,0.08677361725245859
